0.696000000D+00 0.474707142D+00 0.497567226D+00 0.481740371D+00 0.243364772D-01 -.184177932D-01
0.704000000D+00 0.471473267D+00 0.494623341D+00 0.478751250D+00 0.244517919D-01 -.185040829D-01
0.712000000D+00 0.468298165D+00 0.491733919D+00 0.475810744D+00 0.245657747D-01 -.185895280D-01
0.720000000D+00 0.465182035D+00 0.488899091D+00 0.472918364D+00 0.246783021D-01 -.186740301D-01
0.728000000D+00 0.462125052D+00 0.486118975D+00 0.470073620D+00 0.247892555D-01 -.187574943D-01
0.736000000D+00 0.459127369D+00 0.483393678D+00 0.467276024D+00 0.248985214D-01 -.188398296D-01
0.744000000D+00 0.456189115D+00 0.480723292D+00 0.464525088D+00 0.250059915D-01 -.189209486D-01
0.752000000D+00 0.453310390D+00 0.478107894D+00 0.461820332D+00 0.251115623D-01 -.190007675D-01
0.760000000D+00 0.450491269D+00 0.475547544D+00 0.459161279D+00 0.252151351D-01 -.190792063D-01
0.768000000D+00 0.447731800D+00 0.473042286D+00 0.456547457D+00 0.253166162D-01 -.191561888D-01
0.776000000D+00 0.445031998D+00 0.470592143D+00 0.453978405D+00 0.254159168D-01 -.192316420D-01
0.784000000D+00 0.442391850D+00 0.468197119D+00 0.451453663D+00 0.255129525D-01 -.193054969D-01
0.792000000D+00 0.439811312D+00 0.465857195D+00 0.448972781D+00 0.256076436D-01 -.193776878D-01
0.800000000D+00 0.437290303D+00 0.463572329D+00 0.446535313D+00 0.256999148D-01 -.194481524D-01
0.808000000D+00 0.434828714D+00 0.461342456D+00 0.444140816D+00 0.257896951D-01 -.195168317D-01
0.816000000D+00 0.432426395D+00 0.459167483D+00 0.441788853D+00 0.258769176D-01 -.195836700D-01
0.824000000D+00 0.430083166D+00 0.457047292D+00 0.439478988D+00 0.259615192D-01 -.196486147D-01
0.832000000D+00 0.427798807D+00 0.454981737D+00 0.437210782D+00 0.260434407D-01 -.197116162D-01
0.840000000D+00 0.425573065D+00 0.452970642D+00 0.434983799D+00 0.261232164D-01 -.197738990D-01
0.848000000D+00 0.423405647D+00 0.451013804D+00 0.432797595D+00 0.261923238D-01 -.198282088D-01
0.856000000D+00 0.421296224D+00 0.449110987D+00 0.430651723D+00 0.262117744D-01 -.198522604D-01
0.864000000D+00 0.419244430D+00 0.447261926D+00 0.428545725D+00 0.261629456D-01 -.198262874D-01
0.872000000D+00 0.417249863D+00 0.445466326D+00 0.426479135D+00 0.260340460D-01 -.197584376D-01
0.880000000D+00 0.415312082D+00 0.443723858D+00 0.424451472D+00 0.258387304D-01 -.196593006D-01
0.888000000D+00 0.413430611D+00 0.442034163D+00 0.422462241D+00 0.255728897D-01 -.195203762D-01
0.896000000D+00 0.411604939D+00 0.440396852D+00 0.420510929D+00 0.252366802D-01 -.193509393D-01
0.904000000D+00 0.409834519D+00 0.438811504D+00 0.418597004D+00 0.248439676D-01 -.191512049D-01
0.912000000D+00 0.408118771D+00 0.437277668D+00 0.416719911D+00 0.244027127D-01 -.189100080D-01
0.920000000D+00 0.406457083D+00 0.435794864D+00 0.414879074D+00 0.239270645D-01 -.186379377D-01
0.928000000D+00 0.404848812D+00 0.434362584D+00 0.413073890D+00 0.234478093D-01 -.183433293D-01
0.936000000D+00 0.403293285D+00 0.432980293D+00 0.411303732D+00 0.229725112D-01 -.180276237D-01
0.944000000D+00 0.401789802D+00 0.431647426D+00 0.409567940D+00 0.224819470D-01 -.176944381D-01
0.952000000D+00 0.400337634D+00 0.430363397D+00 0.407865824D+00 0.219782515D-01 -.173530039D-01
0.960000000D+00 0.398936025D+00 0.429127589D+00 0.406196658D+00 0.214574785D-01 -.170082389D-01
0.968000000D+00 0.397584193D+00 0.427939363D+00 0.404559683D+00 0.209188948D-01 -.166504985D-01
0.976000000D+00 0.396281332D+00 0.426798054D+00 0.402954100D+00 0.203395648D-01 -.162533787D-01
0.984000000D+00 0.395026610D+00 0.425702976D+00 0.401379072D+00 0.197311055D-01 -.158523295D-01
0.992000000D+00 0.393819175D+00 0.424653417D+00 0.399833721D+00 0.191219557D-01 -.154454663D-01
0.100000000D+01 0.392658153D+00 0.423648648D+00 0.398317128D+00 0.185216053D-01 -.150376585D-01
0.100800000D+01 0.391542651D+00 0.422687917D+00 0.396828330D+00 0.179505379D-01 -.146247634D-01
0.101600000D+01 0.390471759D+00 0.421770456D+00 0.395366323D+00 0.174105737D-01 -.142215311D-01
0.102400000D+01 0.389444548D+00 0.420895477D+00 0.393930057D+00 0.168955090D-01 -.138358259D-01
0.103200000D+01 0.388460075D+00 0.420062178D+00 0.392518438D+00 0.163982159D-01 -.134571520D-01
0.104000000D+01 0.387517381D+00 0.419269740D+00 0.391130330D+00 0.159248852D-01 -.130851211D-01
0.104800000D+01 0.386615495D+00 0.418517332D+00 0.389764550D+00 0.154917608D-01 -.127395161D-01
0.105600000D+01 0.385753432D+00 0.417804106D+00 0.388419875D+00 0.150912677D-01 -.123939697D-01
0.106400000D+01 0.384930195D+00 0.417129204D+00 0.387095031D+00 0.147077510D-01 -.120497312D-01
0.107200000D+01 0.384144777D+00 0.416491757D+00 0.385788704D+00 0.143214805D-01 -.117271959D-01
0.108000000D+01 0.383396163D+00 0.415890885D+00 0.384499531D+00 0.139480283D-01 -.114289611D-01
0.108800000D+01 0.382683326D+00 0.415325699D+00 0.383226108D+00 0.135949112D-01 -.111362488D-01
0.109600000D+01 0.382005237D+00 0.414795305D+00 0.381966986D+00 0.132724324D-01 -.108459279D-01
0.110400000D+01 0.381360860D+00 0.414298801D+00 0.380720677D+00 0.129886186D-01 -.105602268D-01
0.111200000D+01 0.380749153D+00 0.413835281D+00 0.379485654D+00 0.127375189D-01 -.102703761D-01
0.112000000D+01 0.380169070D+00 0.413403833D+00 0.378260349D+00 0.124863089D-01 -.997717136D-02
0.112800000D+01 0.379619559D+00 0.413003541D+00 0.377043159D+00 0.121945691D-01 -.968713833D-02
0.113600000D+01 0.379099564D+00 0.412633485D+00 0.375832442D+00 0.118806518D-01 -.941326128D-02
0.114400000D+01 0.378608024D+00 0.412292739D+00 0.374626517D+00 0.115732744D-01 -.914922312D-02
0.115200000D+01 0.378143874D+00 0.411980377D+00 0.373423668D+00 0.112772835D-01 -.888905989D-02
0.116000000D+01 0.377706045D+00 0.411695467D+00 0.372222138D+00 0.109965493D-01 -.866279740D-02
0.116800000D+01 0.377293466D+00 0.411437077D+00 0.371020140D+00 0.107398746D-01 -.846325924D-02
0.117600000D+01 0.376905066D+00 0.411204275D+00 0.369815850D+00 0.105046658D-01 -.828221352D-02
0.118400000D+01 0.376539774D+00 0.410996128D+00 0.368607415D+00 0.102933733D-01 -.811821760D-02
0.119200000D+01 0.376196517D+00 0.410811708D+00 0.367392950D+00 0.100995854D-01 -.797637146D-02
0.120000000D+01 0.375874227D+00 0.410650087D+00 0.366170547D+00 0.993434384D-02 -.784379718D-02
0.120800000D+01 0.375571837D+00 0.410510342D+00 0.364938271D+00 0.979598483D-02 -.771506795D-02
0.121600000D+01 0.375288281D+00 0.410391551D+00 0.363694162D+00 0.969190250D-02 -.759892971D-02
0.122400000D+01 0.375022490D+00 0.410292795D+00 0.362436237D+00 0.962144734D-02 -.749819047D-02
0.123200000D+01 0.374773398D+00 0.410213154D+00 0.361162492D+00 0.956713987D-02 -.739885908D-02
0.124000000D+01 0.374539932D+00 0.410151709D+00 0.359870898D+00 0.952105805D-02 -.732237417D-02
0.124800000D+01 0.374321020D+00 0.410107541D+00 0.358559402D+00 0.947865241D-02 -.724550789D-02
0.125600000D+01 0.374115582D+00 0.410079728D+00 0.357225928D+00 0.941325998D-02 -.718895194D-02
0.126400000D+01 0.373922537D+00 0.410067346D+00 0.355868380D+00 0.932791690D-02 -.714076335D-02
0.127200000D+01 0.373740796D+00 0.410069470D+00 0.354484637D+00 0.922394567D-02 -.708854844D-02
0.128000000D+01 0.373569268D+00 0.410085172D+00 0.353072563D+00 0.911254131D-02 -.704657326D-02
0.128800000D+01 0.373406855D+00 0.410113519D+00 0.351630001D+00 0.899835848D-02 -.700508051D-02
0.129600000D+01 0.373252455D+00 0.410153580D+00 0.350154785D+00 0.888333726D-02 -.696238608D-02
0.130400000D+01 0.373104964D+00 0.410204420D+00 0.348644734D+00 0.877564187D-02 -.692977421D-02
0.131200000D+01 0.372963272D+00 0.410265100D+00 0.347097655D+00 0.868855946D-02 -.689437558D-02
0.132000000D+01 0.372826267D+00 0.410334683D+00 0.345511348D+00 0.862559600D-02 -.686217095D-02
0.132800000D+01 0.372692830D+00 0.410412227D+00 0.343883596D+00 0.858893908D-02 -.683568715D-02
